번호,질문,선택지 1,선택지 2
1,데이트할 때 주로 어디서 시간을 보내고 싶나요?,집에서 편하게,밖에 나가서 활동적으로
2,휴가를 간다면 어디로 가고 싶나요?,산이나 숲으로,바다나 해변으로
3,식사할 곳을 정할 때 어떤 방식을 선호하나요?,자주 가는 단골 맛집,매번 새로운 곳 탐방
4,주말에 연인과 시간을 보낼 때 어떤 방식이 좋나요?,하루 종일 함께,짧게 자주 만남
5,영화를 볼 때 어디서 보는 걸 선호하나요?,집에서 OTT로,영화관에서 큰 화면으로
6,여행 일정을 짤 때 어떤 스타일을 선호하나요?,빡빡하게 많이 보기,여유롭게 천천히
7,여행을 간다면 주로 어디로 가고 싶나요?,국내로 가까이,해외로 멀리
8,데이트하기 좋은 시간대는 언제인가요?,아침이나 오전,저녁이나 밤
9,연인과 연락할 때 어떤 방식을 선호하나요?,카톡으로 자주 짧게,전화로 길게 통화
10,기념일을 보낼 때 어떤 방식이 좋나요?,크게 준비하고 이벤트,조용히 둘이 의미있게
11,데이트 장소를 정할 때 어떤 곳을 선호하나요?,사람 많고 활기찬 곳,한적하고 조용한 곳
12,데이트할 때 주로 어떻게 이동하나요?,대중교통 이용,자동차로 편하게
13,데이트할 때 어떤 활동을 선호하나요?,등산이나 운동 같은 액티비티,카페에서 대화
14,연인과 운동을 할 때 어떤 방식이 좋나요?,같이 운동하며 시간 보내기,각자 운동하고 따로 만나기
15,데이트 추억을 어떻게 남기고 싶나요?,사진 많이 찍어서 기록,눈으로 보고 기억에 담기
16,식사할 때 주로 어디서 하고 싶나요?,집에서 직접 요리해서,밖에서 외식으로
17,쇼핑할 때 연인과 함께 하고 싶나요?,같이 다니며 쇼핑,각자 따로 쇼핑
18,카페를 선택할 때 어떤 분위기를 선호하나요?,조용하고 차분한 곳,인스타 감성 넘치는 곳
19,연인과 대화할 때 주로 어떤 이야기를 나누나요?,깊은 고민이나 진지한 대화,가벼운 수다나 웃긴 이야기
20,산책할 때 어디로 가는 걸 선호하나요?,동네를 편하게,공원에서 피크닉하며
21,비 오는 날 데이트는 어떻게 하고 싶나요?,우산 쓰고 걸으며,카페에서 창밖 구경
22,드라이브를 간다면 언제 가는 게 좋을까요?,밤에 야경 보며,낮에 풍경 보며
23,여행을 갈 때 누구와 함께 가고 싶나요?,우리 둘이만,친구 커플과 함께
24,어떤 유머 코드를 선호하나요?,아재개그도 귀엽게,센스있는 드립
25,드라마를 볼 때 어떤 장르를 선호하나요?,로맨스나 멜로,스릴러나 액션
26,음악을 들을 때 어떤 장르를 선호하나요?,발라드나 잔잔한 곡,댄스나 신나는 곡
27,연인과 게임을 한다면 어떤 걸 하고 싶나요?,모바일 게임,보드게임이나 방탈출
28,어떤 계절을 더 좋아하나요?,여름이 좋아요,겨울이 좋아요
29,어떤 동물을 더 좋아하나요?,강아지파,고양이파
30,야식을 먹는다면 뭘 먹고 싶나요?,치킨,라면
31,연애할 때 어떤 분위기를 선호하나요?,설레고 두근거리는 연애,편하고 안정적인 연애
32,말할 때 어떤 방식을 선호하나요?,솔직하게 직설적으로,돌려서 부드럽게
33,감정 표현은 어떻게 하는 편인가요?,표정이나 행동으로 티 내기,속으로 삭이고 감추기
34,사랑을 표현할 때 어떤 방식을 선호하나요?,말로 직접 표현,행동으로 보여주기
35,서운한 일이 있을 때 어떻게 하나요?,바로바로 말하기,시간 두고 나중에 말하기
36,데이트 계획을 세울 때 어떤 스타일인가요?,미리 계획 세우는 편,즉흥적으로 정하는 편
37,연애 가치관은 어떤 편인가요?,현실적이고 실용적,로맨틱하고 감성적
38,싸웠을 때 어떻게 풀고 싶나요?,바로 대화로 해결,시간 두고 각자 생각 정리
39,스킨십에 대해 어떻게 생각하나요?,자주 하고 싶어요,가끔씩만 해도 돼요
40,집에 있는 걸 좋아하나요?,집이 편하고 좋아요,밖에 나가는 게 좋아요
41,SNS에서 연인과의 관계를 어떻게 하나요?,서로 팔로우하고 공유,모른 척 프라이빗하게
42,휴대폰 비밀번호를 공유할 수 있나요?,서로 공유해도 괜찮아요,사생활은 존중해야 해요
43,가족에게 연인을 언제 소개하고 싶나요?,빨리 소개하고 싶어요,충분히 시간 두고 천천히
44,과거 연애에 대해 어느 정도 공유하나요?,다 솔직하게 공유,꼭 필요한 것만 최소한으로
45,질투를 얼마나 하는 편인가요?,많이 하는 편이에요,거의 안 하는 편이에요
46,고민이 생기면 언제 털어놓나요?,생기는 즉시 바로바로,다 쌓아뒀다가 한 번에
47,연인에게 피드백을 줄 때 어떻게 하나요?,칭찬 위주로 긍정적으로,솔직하게 지적도 함께
48,미래에 대한 이야기를 얼마나 자주 하나요?,자주 이야기해요,거의 안 해요
49,결혼에 대해 어떻게 생각하나요?,결혼 전제로 만나요,아직 모르겠어요
50,연애할 때 뭐가 더 중요한가요?,돈이 충분한 연애,시간이 충분한 연애
51,잘못했을 때 사과는 어떻게 하나요?,말로 직접 사과,행동으로 보여주며 사과
52,화가 났을 때 어떻게 행동하나요?,말이 없어지고 조용해져요,평소보다 말이 많아져요
53,비밀에 대해 어떻게 생각하나요?,작은 비밀도 다 공유,굳이 말 안 해도 되는 건 패스
54,연애 사실을 주변에 공개하나요?,공개적으로 알려요,비밀스럽게 숨겨요
