번호,질문 내용
1,가장 좋아하는 데이트 스타일은?
2,나중에 함께 키우고 싶은 반려동물은?
3,비 오는 날에 하고 싶은 데이트는?
4,가장 좋아하는 계절과 그 이유는?
5,평생 한 가지 음식만 먹어야 한다면?
6,여행 갈 때 가장 중요하게 생각하는 것은? (음식 vs 관광 vs 휴양)
7,나의 소울 푸드는 무엇인가요?
8,좋아하는 영화 장르는?
9,"아침형 인간인가요, 저녁형 인간인가요?"
10,스트레스를 푸는 나만의 방법은?
11,연락 빈도는 얼마나 중요하다고 생각하나요?
12,이성 친구(남사친/여사친)와의 허용 범위는 어디까지?
13,"싸웠을 때 바로 푸는 게 좋나요, 시간을 갖는 게 좋나요?"
14,질투가 많은 편인가요?
15,기념일은 어떻게 챙기는 게 좋을까요?
16,"사랑 표현(말, 스킨십, 선물 등) 중 가장 선호하는 방식은?"
17,연인 사이에 비밀이 있어도 된다고 생각하나요?
18,나의 연애 세포가 죽었다고 느낄 때는?
19,상대방에게 정이 떨어지는 순간은?
20,이별 후 친구로 지내는 것에 대해 어떻게 생각하나요?
21,나를 처음 봤을 때 첫인상은?
22,우리가 사귀기로 결심한 결정적인 순간은?
23,내가 가장 사랑스러워 보일 때는 언제인가요?
24,우리가 가장 크게 웃었던 순간은 언제인가요?
25,나에게 듣고 싶은 애칭이 있나요?
26,우리의 관계를 한 단어로 표현한다면?
27,나에게 바라는 점이 있다면 딱 한 가지?
28,우리가 함께 찍은 사진 중 가장 좋아하는 사진은?
29,나를 색깔로 비유한다면 무슨 색인가요?
30,내가 해준 요리 중 가장 맛있었던 것은? (혹은 먹고 싶은 것)
31,"돈 관리는 각자 하는 게 좋을까, 합치는 게 좋을까?"
32,결혼식은 성대하게 vs 소박하게?
33,자녀 계획에 대한 생각은?
34,맞벌이에 대한 생각은 어떤가요?
35,명절에는 양가를 어떻게 방문하는 게 좋을까요?
36,종교가 인생에서 차지하는 비중은?
37,저축과 소비 중 무엇이 더 중요할까요?
38,집안일 분담은 어떻게 하는 게 공평할까요?
39,나중에 부모님을 모시고 살 의향이 있나요?
40,성공의 기준은 무엇이라고 생각하나요?
41,어린 시절 나의 장래 희망은 무엇이었나요?
42,학창 시절 가장 기억에 남는 선생님은?
43,살면서 가장 후회되는 순간이 있다면?
44,다시 돌아가고 싶은 나이대가 있나요?
45,내 인생의 전성기는 언제였다고 생각하나요?
46,가장 크게 다쳐본 기억은?
47,첫사랑에 대한 기억은 어떤가요?
48,어릴 때 가장 좋아했던 장난감은?
49,가장 기억에 남는 가족 여행은?
50,나에게 큰 영향을 준 책이나 영화는?
51,10년 뒤 우리는 어떤 모습일까요?
52,은퇴 후 살고 싶은 도시는?
53,죽기 전에 꼭 해보고 싶은 버킷리스트 1위는?
54,내 집 마련의 꿈은 어떤 형태인가요? (아파트 vs 주택)
55,나중에 어떤 부모가 되고 싶나요?
56,로또 1등에 당첨된다면 가장 먼저 할 일은?
57,함께 배우고 싶은 취미가 있나요?
58,노후에 가장 걱정되는 것은 무엇인가요?
59,매년 꼭 지키고 싶은 우리만의 전통을 만든다면?
60,서로에게 어떤 배우자가 되고 싶나요?
61,만약 좀비 사태가 터진다면 나는? (싸운다 vs 숨는다)
62,내가 바퀴벌레로 변한다면 어떻게 할 거야?
63,내 친구가 깻잎을 떼어주지 못해 낑낑댄다면? (잡아준다 vs 냅둔다)
64,하루 동안 투명인간이 된다면?
65,무인도에 딱 3가지만 가져갈 수 있다면?
66,과거로 갈 수 있는 타임머신 vs 미래를 보는 능력?
67,내가 갑자기 10살 연하/연상이 된다면?
68,다른 사람과 영혼이 바뀐다면 누구와 바뀌고 싶어?
69,평생 고기 끊기 vs 평생 밀가루 끊기
70,다시 태어나도 나랑 결혼할 거야?
71,요즘 가장 큰 고민거리는 무엇인가요?
72,나에게 털어놓지 못한 사소한 거짓말이 있나요?
73,우리가 싸울 때 내가 고쳤으면 하는 점은?
74,나를 만나고 나서 변한 당신의 모습은?
75,내가 힘들 때 가장 위로가 되는 당신의 행동은?
76,어떤 사람이 '어른'이라고 생각하나요?
77,내 인생에서 가장 행복했던 순간 Best 3는?
78,남들에게 보여주기 싫은 나의 단점은?
79,인간관계에서 가장 중요하게 여기는 신의는?
80,나에게 '가족'이란 어떤 의미인가요?
81,오늘 하루 중 가장 기분 좋았던 일은?
82,지금 당장 먹고 싶은 메뉴는?
83,자기 전에 주로 무엇을 하나요?
84,주말에 아무 계획이 없다면 무엇을 하고 싶나요?
85,요즘 즐겨 듣는 노래는?
86,나를 위해 해줄 수 있는 소소한 배려는?
87,가장 좋아하는 계절 음식은?
88,나와 함께 가보고 싶은 맛집은?
89,비 오는 날 생각나는 음식은?
90,요즘 꽂혀 있는 관심사는?
91,오늘 나에게 해주고 싶은 칭찬 한마디?
92,지금 이 순간 가장 하고 싶은 말은?
93,다음 생에도 사람으로 태어나고 싶나요?
94,1년 뒤 나에게 쓰는 편지 한 줄?
95,가장 좋아하는 떡볶이 스타일은? (밀떡 vs 쌀떡 vs 로제 등)
96,가장 좋아하는 아이스크림 맛은 무엇인가요?
97,카페에 가면 무조건 시키는 고정 메뉴가 있나요?
